Label,Actual Number of Videos,Predicted Number of Videos
couple,5,2
hilarious,6,2
adventure,7,5
baby,14,9
bus,2,2
cartoon,38,16
chuck e cheese,2,2
comedy,64,23
daddy,3,2
educational,6,2
family,25,4
family friendly,4,2
family fun pack,2,2
fisher price,2,2
frozen,7,3
game,23,14
good,5,2
happy,5,2
learn,22,16
little,4,2
mask,2,2
mouse,9,5
paw patrol,8,7
pig,8,6
play,15,11
playtime,3,2
step2,2,2
surprise,10,5
toy,12,7
toy story,3,3
hair,5,1
updo,1,1
wedding,9,8
baby,14,9
baby feeding,1,1
baby hazel,2,1
cartoon,38,16
cooking,6,3
explorer,1,1
frozen,7,3
frozen anna,1,1
fun,5,2
girl,16,10
hair salon,1,1
little pony,1,1
make,9,3
nail salon,1,1
pig,8,6
princess,2,1
sago,2,2
slither io,1,1
spa,1,1
talking,3,3
4,22,14
grand theft auto v,1,1
interactive entertainment,20,12
android,4,3
game,23,14
2017,85,66
4th may 2017,26,25
colors,42,25
episode,46,42
full,6,6
full episode,77,48
latest,45,43
may 4 day year,12,13
preview,39,44
serial,64,44
shakti,16,5
shakti 4th may 2017,2,3
shakti full episode,9,5
shakti full episode 4th may 2017,2,3
shakti location,2,2
shakti preview,3,3
shakti serial,5,4
today,41,40
history,3,2
university,1,1
2016,11,9
2017,85,66
2k16,7,7
2k17,9,8
5th,7,7
band,15,7
battle,12,8
clips,8,8
comparison,8,7
dancing,9,7
drumline,8,7
event,9,7
fat,20,14
field,7,7
fifth,7,7
footage,12,11
high school,8,8
percussion,7,7
preview,39,44
quarter,7,7
review,24,14
rivalry,7,7
stadium,7,7
tell,23,13
zero,9,7
black mob violence,6,6
black white crime,6,6
colin,7,6
dont make black angry,6,6
white girl bleed lot,6,6
sesame,2,2
street,2,2
bad,3,2
beat,4,1
black,1,1
de,2,1
de rap,1,1
drake,4,1
hip,3,1
hip hop culture,1,1
hip hop instrumental base de rap,1,1
hop,3,1
instrumental,5,4
para cantar rap,1,1
producer,2,2
rap,3,2
rap battle,1,1
rap instrumental,1,1
studio,1,1
tempo,2,2
trap,5,1
trap beat,1,1
underground,3,1
4,22,14
interactive entertainment,20,12
amar,1,1
amar sir,1,1
amar sir math,0,1
math,1,1
po,0,1
quantitative aptitude,0,1
sir,2,1
al hasan,1,1
cricket,4,1
cricket 2017,1,1
cricket news,2,1
cricket news today,3,1
cricket news update,1,1
cricket news update 2017,1,1
cricket team,1,1
