Id,Title,Description,Comments (; delimited list)
lWikePg7d_Y,DipIt 15 Epoxy vs Yarn Not Your Grandmas Yarn Bowl,A mess of yarn  resin and weve got something that will outlast anything Pinterest can throw at us The Great Courses Plus  The Great ,I want an officially licensed Peter Brown teeshirt that says in the shop time font quotEpoxy is my mistressquot;Try a DipIt Lego bowl Like start by making a square like L7quot x W7quot x D4quot out of Lego bricks leaving some open holes for the clear resin  to sit in and bond to all the bricks better even cooler if you shavedchopped bricks to add multicolored speckling to the resin Then turn it to a large bowl br br I39m thinking of trying it myself but I39m not sure how it will turn out and I39d like to see what I could expect while trying it;so about that orange and white bowli like it you could weave flowers through themor give it to me and i will ;Accidental epoxy yarn felting;Resin lightsaber;hahah that39s pretty great though tbh a yarn bowl is supposed to be an attractive bowl that Knitterscrocheters use to hold their yarn so it doesn39t roll away Yarn bowls usually have holes or spirals routed into them to guide the yarn This was a fun and cool idea though I love your stuff Peter brown please never stop shop time hahah it39s taught me so much;Peter Brown on the verge of creating a brand new sport YARNBALL;you should do a micarta project using bread as the different layers like you could use white and whole wheat for the different layers;yarn bowl you 1st made can be a light lamp shade;yarn ball;How about making a functioning skateboard out of resin  deck  wheelsbr I actually want to see if the wheels work I39d make some candy sprinkle wheels for my rollerskates;I39ll gladly take that first one off ya hands if u dont want it it looks amazing;I love the quotThis is what you wantI thinkquot moments;make a yarn ball like two bowls together;make a chip crisp for the UK bowl out of chips;It could maybe be a lamp shade;You should try to make a yoyo out of HDPE;This vid didn39t show in my YouTube subscriptions;Make an apple logo  lol ;Halloween Candy
uCcBNRiape4,GTA 5 WALKTHROUGH PART 1 GTA 5 Story Mode,GTA 5 Story Mode Walkthrough Part 1 North Yankton Heist Give this video a thumbs up if you want to see more   SUBSCRIBE FOR MORE ,What did you guys think of Part 1 ;Hi Samara you39re awesome A few months ago you where new to gta Now you rob banks every Wednesday a hrefhttpwwwyoutubecomresultsq23samaraisbeastmodesamaraisbeastmodea;you need to sit lil quietly while playing you are talking too much;GTA V was ok I just felt the game was too hyped up which eventually spoilt it for me Good job though Samara;its very nice like you br you are beauty;Part 2 please please until the end of the game;I ve done it 3 times its so fun;Great play through Samara can39t wait for part 2 ;Also the video was awesome;You are sooooooo pretty Samara;Yo guys i have this best glitch that can help you get infinite Mny it39s here  a hrefhttpvisitstZA8CKgta5onlinevisitstZA8CKgta5onlinea;i love your videos samara keep up the good workcan u make resident evil 6;great video loved it;a hrefhttpwwwyoutubecomresultsq23SamaraisawesomeSamaraisawesomea;Which one do you think is better resident evil 7 or GTA 5;i have been waiting for this walkthrough since samara starting playing gta 5br nearly 300000 subs samara so excited;Your the best I love you samira redway;I want part 2 ;I have;Needs to steal a car chases a cat across a roaddies bahahah  keep these vids coming Samara lt3
dJJFkOVHEng,4 Cheesecake Vs 70 Cheesecake,Did it cut the cheese Or did it take the cake Check out more awesome videos at BuzzFeedVideo  GET MORE BUZZFEED ,DO SATE;do one for nasi lemak;a hrefhttpwwwyoutubecomresultsq23TeamAdamTeamAdama;Poor Adam always getting the leftovers ;WHEN IS THE COFFEE EPISODE;Poor Adam always the leftovers;Andrew is definitely bad cop;I understand that you are saying that the food is worth it but for me i also agree and disagree at the same timebr br Qn Why did you Disagree br br Ans it is because is damn smoll;adam should say what he thinks is worth it;More than half the commercials are about Adam;Ur in NYC and u don39t go to Juniors Cheesecake wtf is wrong with u;a hrefhttpwwwyoutubecomwatchvdJJFkOVHEngampt3m10s310a ADAM IS MY SPIRIT ANIMAL;a hrefhttpwwwyoutubecomwatchvdJJFkOVHEngampt0m06s006a this is true babies can be huge perverts;Cheese cake is actually a pie tho I mean but whatever don39t even try to argue with me on this one;you guys should do a fidget spinner video;What is the name of the song when they are eating the 70 dollar cheesecakebr br I love it;4 Meme Vs 360 Meme;when he said wonder girls I thought of the kpop group and I was like br quotWhat I have never seen cheesecake in one of their videosquot then he said the golden girls then I said br quotoooooooooooooooh yeah definitely more than 100 times close to 200 possibly more quot;the quietness when adam eats;i hope theyre not faking those reactions
svq3AdNQvD8,BOYFRIEND DOES MY VOICEOVER ft Swoozie,Thumbs up for this simple brown makeup look and no we are not dating lol also TURN MY NOTIFICATIONS ON to be alerted when I upload  Check out ,I need that hair color Anyone know the details on it;chameleon foundation lol;YES I LOVE SWOOZIE;Hey Andrea Your my favorite youtuber ever;OMG U LOOK LIKE MODEL UR SO CUTE AND TRENDY;I39m dying for leaving the eyelashes as a reminder of your existence;Aloha female there is a neat makeup giveaway at a hrefhttpsitesgooglecomsite54b53b95b7sitesgooglecomsite54b53b95b7a;How are you chicas there is a unbelievable makeup giveaway at a hrefhttpsitesgooglecomsite46d828a2b4sitesgooglecomsite46d828a2b4a;Hiya girls there is a great makeup giveaway at a hrefhttpsitesgooglecomsite2478c78dfcsitesgooglecomsite2478c78dfca;this was a really nice look  ;Boyfriend Noooo So crushed;This was hilarious ;I adore him omg lmao;loved it;if you39re vegetarian and love your animals why do you still use products like maybelline and smashbox who still test on animals no hate genuine question;i ship;Cos if he pulls back you can39t be looking like smiggles from lord of the rings br I died;Swoozie Cryyyyyyyiiiiiiinnnnnnnnnnnnggggggg He39s sp perfect for the voiceover;what eye contacts are u wearing 
bv8-UzyQZME,safariLIVE Sunset safari  Apr 27 2017,Jump on the back and join a LIVE African Safari Twice a day our expert guides invite you to come along and drive through the African bush in search of the Big ,
V4GSbAvljig,Star Wars Rogue One SPECIAL Part 22  RetroBlasting Toy Review Hasbro,RetroBlasting concludes its Rogue One special in a massive video thats all about the scale of Hasbros Rogue One vehicles as well as the scale of Hasbros ,Just bought my son a 1979 millennium falcon for 10 at a collectors fair Much better toy than the new stuff;Wahey your back;When is Part 3 coming I mean cmon br Nah only kidding great job informative as always;Just wondering if you39re ever do Star Trek the next generation toys like you teased in the first Star Trek video;Great video as always Welcome back;and now back to vintagebr br Lines in need of the RetroBlasting treatment are Centurions StarCom GoBots Inhumanoids Visionaries Sectaurs and Bravestarr Technically we have had GoBot and Sectaurs videos but they were restorations;I have given up on the 4 inch line and now only do the 6 inch versions;It39s a cycle of endless money grabbing If they made the ships bigger it39ll cost more It39s saddening reallybr br PS I am LOVING that new background;I just collect mainly the figures  as some of the vehicles are just crap;Really didn39t like anything post 1995;When The Phantom Menace came out along with the toys I was very excited and started buying up as much as I could After a few months I realised how many there were and more toy lines were planned That39s when I stopped because I realised Hasbro was not making toys for the kids they were making collectibles for the adults and willing to remake Luke in different positions to force the collectors to hand their money overbr br I have not looked at Star Wars toys generally since but did grab the Legacy ATAT and Millennium Falcon as I never had them in the vintage range These Rogue One toys looks great but I refuse to buy them because of Hasbro39s BS history;Two words  Spot  on;totally agreemoney hungry hasbro;ahhh now this is something I have been waiting for thank you for your hard work Greetings from Africa;I just woke up and there39s a new RetroBlasting episode What a great morning;Great video you always put out great content Michael many thanks for sharingbr br Totally agree with your thoughts I  personally feel that Hasbro are using Star Wars as a cashcow and essentially fleecing parents and children with some pretty shoddy product I think the 375 figures are great the paint application and sculpts are great but the vehicles the vehicles The Force Awakens Millennium Falcon just comes up very badly in comparison with the older models and the ATACT whilst having nice electronics just looks cheap and is shoddily designed And considering the price of these vehicles seems to me at least to be totally inexcusable br br Enjoyed listening to your thoughts totally honest and delivered with great humour;Well welcome back Thank you for the great video Something new to bother my wife with D;I really enjoyed this review thanks guys;I can39t add a single thing as you39ve said it perfectly As a vintage collector I have to be dragged kicking and screaming to modern but I have to admit  the Rogue One 3753939s are a big improvement over what I saw of the TFA figures The Jyn in Imperial Disguise is probably the best I39ve seen But yeah the vehicles are just atrocious with cheap rubbery plastic and that abominable Nerf corporate partnership nightmare that just kills every vehicle they put out I found the TFA Falcon on clearance for 25 at a WalMart and ended up getting it and I literally bgaveb it away after opening and looking at it for a couple of days There39s just no bsculptingb on the vehicles which is part of what makes the original Kenners so incredible Anyway I39m rambling Great show as always guys;so good thanks Bravo
zhWDdy_5v2w,What Happens In One Minute,We show you what happens in one minute in one minute Subscribe for weekly videos  GET THE ASAPSCIENCE BOOK ,wat;col video Guys lese rt m hot video on m hnnel Wh likd this vide lick quotlikquot ;075x speed sounds normal to me;U forget another one One million fools like me wasted a minute;Wow  if I had not clicked this video I would never know what happens in one minute;You guys should tottaly do one about the five second rule;Sub to me I39m a new youtuber;add some autotune and it will be a better rap that most of the ones that play now days;NEXT VIDEObr br Why does alchol feel burning when you drink it;My dad sent me this;I love how this video is one minute long that what probably on purpose though;he talked faster than john green what;This video takes 83300 shoots;Woaaaa;MINDBLOWN;Jeez;The speed to make this video one minute was intense;please make a video on what happens when you get shot;I have a serious question and if you could answer it would be great My question is what is a micro napsleep and how are they caused;I watched this video in a minute
Pp7cK0otlDk,Conservative students suing Berkeley over Coulter speech,Students take a stand after the university canceled the conservative commentators speech,Berkeley Federal Funding OVER;George Soros who pays these Antifact aholes should be brought to this country and be tried for all the violence he has caused;we need  more  conservative  speakers a lot  more  and  Lawyers  too  follow  up  with  lawsuits;the united states college republicans send their regards to the unhinged leftist plantations from berkeley;Fascism was influenced by Anarchism;Yuck I39m disgusted that little ArabAsian Naweed Tahmas and his otherfriendor whatever they are belong to the great American Republican Party Excuse me while I go vomit;one thing for sure  the police will not maintain the peace and civility in this event;a hrefhttpwwwyoutubecomresultsq23ALTleftALTlefta AGENDA is the TRUE a hrefhttpwwwyoutubecomresultsq23NAZINAZIa PARTY amp a hrefhttpwwwyoutubecomresultsq23FASCISTFASCISTa;its time to sue the shit out of Berkeley;I hope she shows up with the with major personal security;So in other words the Rioters get their way and free speech is now in question;AH Those Conservative Students SOOOOO naive They ACTUALLY believe the Legal system has anything to do with JUSTICE and what is right Free Speech is not for for anyone but only the LEFT;How many Fox Jews viewers have been to Berkley How many of them have ever been to college Retarded and jealous Fox Jews viewers know nothing about going to university;i think theres gonna be a riot;Ann Coulter is not a conservative She39s a fucking nut job Fox Jews is not news;Berkeley and California are turning into NAZI Germany Thanks again liberals  If we lose this battle we lose our country Civil war is imminent it39s only way to take back America from these liberal fascists;Good for you  Go get 39em  Free speech and alternate views help people form intelligent decisions  Those added members realize thisgood for thembr br Tolerance is an American value we all hold dear Violence against any group is unconstitutional  This school and students are sooo far from being liberal  They are UNLIBERAL BIASED RADICAL LEFTISTSbr Gotta bring them to court Violent resistance to a different view is not allowed in this countrybr SUE THE PANTS OFF BERKLEY;Coulter canceled over this Reflect on that people;liberals profess to be wise but are fools so much for their culture of diversity and empathy
7w9ZzMXc7oM,Game of Thrones Season 7 Live QA,Game Of Thrones Season 7 Live QA Subscribe  NEW Shirts  Live stream talking Game ,Perhaps the carved eyes in the Wierwoods started after the pact between the Children and the First Men as a concession from blood sacrifice;oh my gosh I39ve missed you again;Well I know how I39m spending my bank holiday monday The Others take ya timezone tho I wanna catch 1 of these live;sorry I missed you guys this time listening now;con of thrones videos PLEASE;And again I39ve missed you ;Got this at 2 AM  sorry couldn39t be there  Peace;Wierwood trees and faces I think the faces are of the last person that used the tree eg theon noticing bran in the one in winterfell or varymyr sixskins when he dies;did u see serg from system of a down do rains of Castamere you tube it if you havnt hard;Bran IS Bran the Builder then gets caught by the Children of the Forest and gets turned into the Night39s King;I39m so bummed I keep forgetting that you guys are doing live streams on Sunday nights I have a QampA It39s for book only do you think that the tall Knight that Bran saw in his visions was Ser Duncan The Tall I won39t miss the next one have a great week;Are we going see some old characters possibly as whites and who would you like to see come back from the dead;Chris White color suits you so much Thanks for all the work both of you X;who do you think will be a surprise people want on the show from the book do you think Quaithe will reveal herself on the show to Dany;I didn39t get the notification;You were on for 3hrs amp I didn39t get the notification til 2am wth Oh well sorry I missed it guys;Darn I didn39t get the notice via Gmail until 5 hrs too late Can you let me know how I can get notices earlier so I can come catch up with everyone Cheers Mates Yx;Bittersweet Jon is so happy with Daenerys that Bran doesn39t tell him she is Jon39s aunt so as to not ruin it for him He39s happy in love but never King;Yay a live streamand I am so Up for it waitI missed it didn39t I;Hey I watched this scene and talked about it with others and it seems Lf was talking about LYSA Ros asks if he is saving himself and he had actually convinced Lysa to kill Jon Arryn because of Sweetrobin and to marry him
PlFoElOBaPM,LIVE WEEKLY WRAP UP 43017,SUPPORT JOURNALISM DONATE AT PATREONCOMTIMCAST FOLLOW ME Instagram   Twitter   ,love your work;traps are most certainly gay lol;from Urban Dictionary br Hoppabr A Japanese term for people who are half Asian and half white It means Half in Japanese Usually they have big almond brown or hazel eyes NorthAsian Hoppas are pale whereas SoutheastAsian Hoppas are extremely tan Many have freckles;quotYou39re not allowed to say retardquotbr br Fuck you Tim I39ll say whatever I want faggot;it39s interesting how you describe yourself as someone who quotdoes not readquot as in not an fauxintellectual the way you speak or describe news that you39re covering cuts through bullshit is stated clearly and your interpretations are done in a practical matter it39s quite refreshing compared to journalists who despite not being well informed pretend to know what they39re talking about like experts but end up misinforming throwing random lingo trying to teach indoctrinate viewers instead of allowing them to think for themselves;We need a purple pill movement with Tim as leader;Tim is Purple Pill;Freeze frame at a hrefhttpwwwyoutubecomwatchvPlFoElOBaPMampt00m01s0001a sec and look at Tim39s expression Redpilling in action;Tim would school Joe Rogan He39s a shill;You are good you are the future I hope;ANTIFA are not anarchists Anarchists are unicorns they don39t exist ANTIFA are authoritarian and conformist to the bone;Tim you39re quota white malequot Pass the Bulgogi pleasebr br I know what39s under your beanie;you should link your twitter on your channel page;Tim should start selling his used beanies;Never got notified about the LiveFeed;It is Hawaiian for HapaHaole half local Asian and Haole White My best friend is HapaOld lady from Hawaii;I would love to work with you but sadly I39m still in college Thankfully people don39t protest at my campus;hey tim so when I asked you about the jewish rothchilds you did exactly what SJWs do when asked about muslim problems quotoh wow well I have friends who are muslimquot sound familiar how do we know you39re not just an alternate SJW with a different narrative and the people who claim to be redpilled aren39t still bluepilled about the bigger picture it has been said that Jeorge SOROS is another puppet in the hand of rothchilds The shitposters online warned you about the jews p xD;Part of me wants to see what39s under the beanie but part of me also likes a good mystery;Tim is so hot he makes me want to stop being a white supremacist 
