Id,Title,Description,Comments (; delimited list)
cN2EP1ZC5Rk,Hans Zimmer Live  Man of Steel  Wonder Woman 4k 2017 Tour Los Angeles,Hans Zimmer Live  Man of Steel  Wonder Woman 4k 2017 Tour  Microsoft Theater Los Angeles What Are You Going to Do When You Are Not Saving the ,this version of wonder woman theme is kinda different from the original is she with you  soundtrack Could someone please provide the link of this version if there39s one out there ;then they use man of steel song for justice league when superman comes to join the battle for an epic comeback from the grave ;Holy shit that electric guitar and the wonder woman theme;The Man Of Steel theme evoke emotions such as inspiration and courage and can stand on its on When I hear his other themes it makes me think about the movie only;epic;Looks like Guthrie39s playing a fretless for the Wonder Woman part;This will forever be the new if not one of the new Wonder Woman themes throughout history;Goosebumpsbr Hans Zimmer is truly a blessing and legend;man of steel goosebumps heck yeah;For the 1 person that disliked this vid quotI WILL FIND HIMquot;Can39t wait for Aquaman39s theme or Flash39s;This is fantastic hope to here this in the Justice League film again;Is this from Coachella;Hell yes Fucking Avengers WISH they had such awesome songs for each of their superheroes like these DC movies are WAY MORE EPIC;HAHAHAHAHAHHA The chills I get for that wonder woman theme is off the charts;Can anyone please tell me how long Hans Zimmer concert normally is Duration wise 34 hoursbr I have bought ticket for the show Wanted to plan my travel there That39s why Would appreciate your help;the score to the man of steel is the best part about the film to me;Sounds awesome must39ve been something else to be there wish he would come to Houston
yRu1gGu0AsU,SF9   Still My Lady   Dance Practice Video Full Ver,SF9   Still My Lady   Dance Practice Video Full Ver SF9 First Mini Album Burning Sensation    Still My Lady ,GOT MY EYES HOOKED AT TAEYANG;lt3 bb;I love the one wearing the tight blue jeans and white shirt;Can39t take my eyes of Taeyang;a hrefhttpswwwyoutubecomwatchvyRu1gGu0AsUampt2m29s229a You39re welcome ;weno todos hablando ingles y a mi me da flojera a si que helou quien me contesta  c me siento solita njaefuohufahe a quien le gusta taeyang  a mi no v; ;This song sound so good I really like it Fighting SF9;I like the one in white 3;My bias is the one wearing white shirt and jeans with white shoes ;me aw this is so cutebr SF9 bdabbbr Me HOLY DABBING TURTLES THEY JUST DABBED bdabs alongb;KALIAN BIKIN LIST BIAS BERANTAKAN ;Who the guy in the purple hair;Sf9 amp Skinny jeans  And omg that dance move at a hrefhttpswwwyoutubecomwatchvyRu1gGu0AsUampt0m58s058a  a hrefhttpswwwyoutubecomwatchvyRu1gGu0AsUampt1m02s102a;my boy taeyang is so smooth;ive watched this video like 300 million times why did I just realized youngbin isn39t wearing white;youngbin in these pants can have my soul and everything I own;LOS AMO;oh my lady hold me lady;Ok I got it you can say the leader is the one in cream 
5y2OODNxcMY,MV Highlight    Plz dont be sad Performance ver,           ,the bathrobes are so cuuute  ;39     39;;YOYO OPPA;;Thank You for all the mv versions;      ;it39s not highlightbr it39s dablight; the first five seconds of this song have been replayed a million times I39m dying That butt grab There is a reason why he is wearing the robe with the rated 19 symbol ;YELLOW happiness;sooojunhyunghow does kiki39s booty feel ;Aj looks like wearing no shoes at the pink scenes lol;It39s kinda ironic that I searched 39sad39 cause I wanted to cry and found this song Never heard of this group before now Apparently it used to be called Beast and it was under Cube I39ll check out Beast now;why is this so underrated I can39t believe ya39ll let this flop;Yoseob oppa39s voice lt3 lt3 always support Highlight from VietNam lt3;doojoon rusuh amet sih ;ICANT WAIT FOR OUR NEW FANDOM NAME;           ; ;omo love it
UukWc9RbjBU,miles chronicles twitter videos  a lot of singing,Miles twitter GodHatesMiles the last snapchat clip i got it from ,a hrefhttpwwwyoutubecomwatchvUukWc9RbjBUampt10m57s1057a;I just fell in love a bit more with her singing TWENTY ONE PILOTS AHHH;MILES SINGING VOICE IS MY GOD;THIS VIDEO GOES OUT TO ALL THE PEOPLE WHO DONT HAVE TWITTER;MILES SINGING RIPTIDE WILL BE THE DEATH OF ME AND I WILL WELCOME IT;i love your voicelove from israelxxxxxooooo;Omg go to a hrefhttpwwwyoutubecomwatchvUukWc9RbjBUampt8m00s800a  January 27th is my birthday;Miles singing cured my depression br Cleared my skinbr Saved my ass from suicidebr Amen;a hrefhttpwwwyoutubecomwatchvUukWc9RbjBUampt5m29s529a HOW DO THEY STRUM SO WELL;Miles please marry me;MILES SINGING BREATHE IF YOU AGREE;Miles39 singing voice has left me shook;OH MY THEY SOUND SO GOOD OOOOOOOOH MYYYYYYYYYYY LOOOOOOOOORD;a hrefhttpwwwyoutubecomwatchvUukWc9RbjBUampt4m47s447a you39re welcome;i didn39t know how much i needed miles singing in my life;ANYONE ELSE WANT A CD OF NOTHING BUT MILES SINGING THE ABC39S no just me okay I39ll go home;The singing I love it I swear I nearly cried IT WAS BEAUTIFUL;MILES COVERING HOUSE OF GOLD AND RIPTIDE IS MY LIFE;OMG when he started singing House of Gold;Miles has such a good voice tho
-1b2u6_2-70,13 Reasons Why  Tips para disfrutar la escuela con Katherine Langford  Dylan Minnette,13 tips para disfrutar la escuela con Katherine Langford Hannah Baker y Dylan Minnette Clay Jensen de 13 Reasons Why Mi REVIEW de 13 Reason Why ,Muchas gracias chicos sois geniales;Me encant ;Katherine is so natural LOVE HER;So damn cute lt3;can they just be together pls;please God make them a couple;that little dance of her in the beggining ;one moment does she wear hair extensions on the show It kinda seems that she hasn39t that much hair as when she plays Hannah;Her single;i ship;I really love that they acknowledge that gender is on a spectrum ;I really love that they acknowledge that gender is on a spectrum ;Ice cream everyday
NNKGs9eCx04,Mascot Costumes  Custom Mascot Costumes,Mascot Costumes  Look no further than Cartoon Mascots for festive durable affordable and long lasting mascot ,Need one soon;Marketing with mascots ads life to your event Studies show significant impact when using mascots;Truly the best mascots available And very affordable too;cool characters;Very Nice Costumes  I am really excited to get started;Great Costumes look no further
5qDMqPmdFGU,Do you even know me,Hi hi hi guys We filmed this before we left for our trip in January in case we werent able to editupload for some reason so here it is a few weeks later,hi new subscriber here I just love your blogs its funny and cute like both of you;a hrefhttpwwwyoutubecomwatchv5qDMqPmdFGUampt8m51s851a oops Sorry hahaha;kristen you are so hot i hope im not out of line by saying that but your girl know it to that39s why she39s with you along with other thing39s but im happy for you 2 keep being happy peace;This entire video was hilarious You ladies crack me up;I almost fucking died at a hrefhttpwwwyoutubecomwatchv5qDMqPmdFGUampt8m09s809a  lmao;it is so obvious that Steph loves Kristen more;lol awww you guys are funny ;olYou both make me laugh every time i get to watch your videosLooking forward to moreGod bless;like your happyyou are all so happy;This was hilarious ;What is Kristen39s first question a hrefhttpwwwyoutubecomresultsq23NonNativeSpeakersProblemNonNativeSpeakersProblema haha;YOKES on you Kristen You didn39t BEAT Steph;Love u guys so much U always make me laugh and smile and are genuine beautiful souls inside and out;I was in stitches each time one of use got hit in the head with the hard boiled eggsbruises for days ;Im a gemini toooo whooo;love seeing videos from you two in my sub box;aww that was fun Next time it should be a hot sauce drinking contest using small medicine cups;a hrefhttpwwwyoutubecomwatchv5qDMqPmdFGUampt2m06s206a steph39s face after being asked where the first date was hahahaha;kris buy her mint chocolate ice cream otherwise I will;I have this stupid smile on my face all throughout the video omg why are you so fun to watch  and you two are a beautiful mess in this lol 
LIvZHPeYy6Q,HOW TO HOLD A TODDLER,Hey you  Subscribe  and tell your mates NEW How to EVERY WEEK NEW VLOG EVERY WEEK  Subscribe so you dont miss it FACEBOOK ,Notable muscle growth over the years from constant kiddo kettlebells squats curls etc I39m in the same boat Dadbod improves right along with dadback as my son grows and keeps getting heavier;could anyone tell me what the song tha dad is singing;They grew up so fast been a fan since you39re first vid;this is worse than daddy o5;Someday you may need to rename your channel quotHow to GRANDDADquot;This guy needs more subscribers  Lmao br br I love his videos;where39s the high five;Hey man we have a facebook group which compose of the dads all over the world and we have like 30k members We would love to have you in the group and share experiences of Dadhood a hrefhttpfacebookcomgroupsabunchofdadfacebookcomgroupsabunchofdada br br Cheers;FAVOURITE VID;wonderful way to spend time with your child thanks for sharing funny and inspirational;She39s so big now;No I am NOT listening to a hrefhttpwwwyoutubecomwatchvLIvZHPeYy6Qampt1m06s106a on a loop shaddup  I am completely unmoved I care nothing for cute wibble ;I wonder if my 17 14 and 10 year old will let me do that  hahahahah;Lmao  he39s still wearing the same clothes after 2 years lol quotBaby Jesusquot lmao I39m not sure but this one might be the funniest of all;Oh man Has it been that long That39s crazyyy;I hate when I have to sit through aNOTHER BIOGUARD AD;A question about Patreon Do you have an official one and if so could you please link it to your YT channel There is one on Patreon under quotHow to dadquot but I don39t know if its official or not;Don39t worry as soon as baby 20 enters the ring some of those holds will be popular again with toddler 10;How to hold a teenager;why do I find him hot   n how ridicilously cute are his babies His wife must be very good looking
8ak0f0fiFyg,UPDATE VIDEO EXCITING NEWS  WHIPPED CREAM SPELLING CHALLENGE,Hey friends Were back with another video  Hope you enjoyed watching If this video made you smile or laugh like this video drop a comment below and hit ,Y39all are so dope and been dope I love you guys Oh and congratulations on the apartment;I use to watch you guys all time and I39m so so excited that you guys are back make sure you guys do hella videos love you guys;shiiitttt I remember yall;The OGS are Back  Congratulations On The Apartment  Happy y39all are back miss y39all ;Congratulations I know it feels awesomebr Looking forward to more videos;Y39all should make like a smash or pass or a Snapchat qna;No hands kissing challenge;I miss y39all I have been looking for y39all channel glad to see y39all back;I doubt they39ll last their chemistry us off;smash or pass challenge youtuber edition then celebrity edition;No Hands Kissing Challenge;wowww im just still in shock that yall are back good job girls im loving it;Oml I miss you guys like crazy ever since you guys stopped making videos I was searching for you guys like crazy  thank god i found you guys and I am happy for you guys doing big things;don39t forget to monetize yall videos and put multiple ads on each video;You guys are too funny I wish I knew about you guys beforeI would have been dying a long time ago lol I never subbed to anybody this quick Congrats on the apt;yall are so cute Jordan was super hype to put that in your face lol;Chauffeur is French br You almost got it br I39m glad you39re back girls and congrats on the apartment;You guys are so funny You should make videos like the old ones just talking and stuff maybe even try vlogging;Do the never have I ever dirty version Or truth or dare dirty version;Jordy acted like she was drowning in that whip cream wit her arms flailing Love you guys
aUoFVzS6GBY,MV Highlight    Plz dont be sad Smile ver,    Smile ver MV       D     , ;      ;does anyone notice this is the same like the one on weekly idol that bathrobe and must keep SMILING ;inner me;The one playing the arcade game looks so young How old is he;this is so cute I can39t stop smiling; ;br   19   ;This video actually makes my day;im so confused isnt that beast;This song is for Cube 39Cube just plz don39t be sad our boys already won 8 times39;i love you b25t beast                                 ;i love you yoseob       ;i love you lee ki kwang      ;i love you junhyun      ;i love you doojoon      ;i love you b25t beast      ;There coming to kcon NYC ;my life is so much better because of them ;OMG THIS IS WAY BEYOND CUTE
