Id,Title,Description,LikeCount,DislikeCount,"Location (latitude, longitude)",Predicted Tags (comma delimited string),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-HtUB7G8yE,Couple Yoga Challenge,For more click the links below Reality Show Reaction Prank Battle Reaction,78,2,,couple,hilarious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pjk0UvM71zU,Weekly Trucking 108Texas Bound,Trucking from the road and by of Emailpalerider50gmailcom Please watch Back On,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XSchSBfJiXA,CHUCK E CHEESE took Five Nights at Fun Playtime for,Thanks for watching Please Subscribe and Share New Everyday Follow us on,58,12,,adventure,baby,bus,cartoon,chuck e cheese,comedy,daddy,educational,family,family friendly,family fun pack,fisher price,frozen,game,good,happy,learn,little,mask,mouse,paw patrol,pig,play,playtime,step2,surprise,toy,toy story,,,,,,,,,,,,,,,,,,,,,,
D25uG-7veMg,Bun Updo Bridal Hair New York,Bun Updo Special BOOK NOW 646 801HAIR Please Like Share,1,0,,hair,updo,wedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJm-CMkbE2k,3D Printed Transform with Heat,A team of from Institute of Technology and two other a new 3D printing method to create that can,37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smi1kJxRe-I,of the Dawn 2017 Historic Commentary Video,of the Commentary Video Genre Historical Drama Director,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4wrCAC8n-fM,Impact of global volatility on the,Financial Group Private Wealth Advisor on why people should look to invest overseas,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S9Wsy36BK40,A Whole New World Ukulele,A super short take from Medley Took me 2 days to get down 10 from their video Let me know if you want a full depth,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ykWzC9rC2ws,The I Feel It Coming,I Feel It Coming The,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YvMpXv5U7R8,Are Computer Hard Bulletproof,Bald Eagle AR15 LIMITED RUN of these Thanks for the target Our normal,50598,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mw7pM14jz5s,Baby Hazel Adventure Time Baby Hazel,Baby The Explorer Find Hazel For Baby The Explorer Find Hazel For Baby,56,0,37.09024;-95.71289,baby,baby feeding,baby hazel,cartoon,cooking,explorer,frozen,frozen anna,fun,girl,hair salon,little pony,make,nail salon,pig,princess,sago,slither io,spa,talking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D0NBjmsG7BI,Grand Theft Auto V Ring Fight Match,Doing a A Ring Fist Match let me know if you enjoy Hope you enjoy dont forget to like subscribe for more Also check out my twitter for more on my,2,1,,4,grand theft auto v,interactive entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HV28_ENzFog,Jimmy on Passenger Dragged Off United Flight,Jimmy a lot to say about the video of a United passenger being dragged off a plane because the flight was Amidst all the controversy,35750,9111,37.09024;-95.712891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnj2KUFe8_o,Darkness Reborn SEA 1,Subscribe Like Android Game Darkness Reborn,6,0,,android,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qNcGvTCFXj8,Shakti 4th May 2017 Upcoming Twist Colors Shakti Today News 2017,Shakti 4th May 2017 Full Today Episode 4th May 2017 Colors Shakti 4 May 2017 Full Latest Episode Shakti Episode On Location,91,10,,2017,4th may 2017,colors,episode,full,full episode,latest,may 4 day year,preview,serial,shakti,shakti 4th may 2017,shakti full episode,shakti full episode 4th may 2017,shakti location,shakti preview,shakti serial,today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBvq1qSHYjE,Lip Sync Battle with and,Jimmy off with with a surprise appearance by in a hilarious lip to like Bobby My Prerogative,53793,1390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dLnvAXUpMRo,Have Always Worked The US Experience 1920 2016 at,Enroll now Learn about the history of in and,6,0,,history,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-myJIk_C38,Family fun at an Easter POOL PARTY Egg Hunt SWIMMING,Took the to and house where we had an awesome Easter Pool Party and Egg Hunt Surrounded by and AWESOME,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JrD6NfKDW0M,Storm Drumline 2017 Battle in the Apple,SUPPORT SUBSCRIBE Official Site,9,1,,2016,2017,2k16,2k17,5th,band,battle,clips,comparison,dancing,drumline,event,fat,field,fifth,footage,high school,percussion,preview,quarter,review,rivalry,stadium,tell,zero,,,,,,,,,,,,,,,,,,,,,,,,,
m9bSugMlFws,Match Fixing 2017,watch the full video to know trolling,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UvrLRWqr8Hk,First Live Stream Come and out with me,I will be Just a casual session Please feel free to chat with me,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ETAXJhVtUY,To Elle and Back,Ben is still desperately searching for the mysterious Elle and Riley hunt for a good doctor to help with the pregnancy and desperately to be,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rgpn3juCLOo,CLICK THE LINK AT THE END OF THIS VIDEO,We are on Make confidential to support our work so we can do more Just click here or for a one time,976,5,,black mob violence,black white crime,colin,dont make black angry,white girl bleed lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XsKxWHCsoJU,Classic Sesame Street Big Bird to Earn Some Money,Welcome to Sesame Street If by some chance you were looking for Monster Big Bird Baby Bear,0,0,,sesame,street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtnMGQWH5fw,Shop Now with,Dont miss a minute of your favorite Shop now Dont forget to shop Top Value,46,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hN4jgjIfLuc,RAP INSTRUMENTAL BEAT Black,Base De Rap Rap Instrumental Hip Hop Beat Type de rap Tempo Boom Bap Old School Trap Underground,828,18,,bad,beat,black,de,de rap,drake,hip,hip hop culture,hip hop instrumental base de rap,hop,instrumental,para cantar rap,producer,rap,rap battle,rap instrumental,studio,tempo,trap,trap beat,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bop9LpyoWR0,1v1 BlackKillazCH4L,FAKE PS4,7,3,,4,interactive entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ge69hS7CMpQ,Puzzle09 PO Pre2016 By 11 old There is no age bar to,Please watch Time and Distance for Bank PO 06 Set03 For PO MAIN 2017By Amar Sir,54,1,,amar,amar sir,amar sir math,math,po,quantitative aptitude,sir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QOoFzKXIkk0,Cricket Sports news 71,Cricket Sports news 71,6,1,23.7239704132;90.3978729248,al hasan,cricket,cricket 2017,cricket news,cricket news today,cricket news update,cricket news update 2017,cricket team,cricket today,sports,sports news,sports news 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qYy_VBkV07s,Se 4th May 2017 Full Launch Video Se Colors New Serial 2017,Se 4th May 2017 Full Launch Video Se Colors New Serial 2017 Full Episode Se 4 May 2017,8,0,,2017,colors,episode,full episode,full launch video,latest,latest news,latest news today,new serial,news,news latest,preview,romantic,scene,se,se 4th may 2017,se colors,today,twist,upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
