Id,3/1/2017,3/2/2017,3/3/2017,3/4/2017,3/5/2017,3/6/2017,3/7/2017,3/8/2017,3/9/2017,3/10/2017,3/11/2017,3/12/2017,3/13/2017,3/14/2017,3/15/2017,3/16/2017,3/17/2017,3/18/2017,3/19/2017,3/20/2017,3/21/2017,3/22/2017,3/23/2017,3/24/2017,3/25/2017,3/26/2017,3/27/2017,3/28/2017,3/29/2017,3/30/2017,3/31/2017,4/1/2017,4/2/2017,4/3/2017,4/4/2017,4/5/2017,4/6/2017,4/7/2017,4/8/2017,4/9/2017,4/10/2017,4/11/2017,4/12/2017,4/13/2017,4/14/2017,4/15/2017,4/16/2017,4/17/2017,4/18/2017,4/19/2017,4/20/2017,4/21/2017,4/22/2017,4/23/2017,4/24/2017,4/25/2017,4/26/2017,4/27/2017,4/28/2017,4/29/2017,4/30/2017,5/1/2017,5/2/2017,5/3/2017,5/4/2017,5/5/2017,6/2017,5/7/2017,5/8/2017,5/9/2017
cN2EP1ZC5Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.49142857142857,9.866666666666667,,36.345,36.120000000000005,0.0,38.25,,10.27,,,,,,,,,55.74,,,0.0,0.0,
yRu1gGu0AsU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,18.060000000000002,0.0,0.0,0.0,,-10.27,0.0,29.173333333333336,,,,,-29.599999999999998,,,45.879999999999995,31.845000000000002,0.0,0.0,,,,,,,,
5y2OODNxcMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,10.655000000000001,-19.975,,0.0,55.74,0.0,,,,,,,,,,,,,36.120000000000005,,,,,0.0,,,,0.0,,
UukWc9RbjBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.175,0.0,,,27.32,,,,31.845000000000002,,0.0,0.0,16.46333333333333,
-1b2u6_2-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,66.97,0.0,0.0,52.669999999999995,,3.675,,,,,84.03,,,,,0.0,,,,,,,
NNKGs9eCx04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.97,31.819999999999997,,,,,,79.64,20.23,,,,,,,,,,0.0,,,,
5qDMqPmdFGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.135,33.440000000000005,75.06,44.04,,0.0,0.0,,67.99499999999999,,,,,,,,-7.720000000000001,,,,,,,,,,91.18,,,,,,,,,,
LIvZHPeYy6Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.996,-4.38,91.53,,41.8,,66.97,0.0,,,,-47.67,,,,18.72,,38.18,,,36.120000000000005,,
8ak0f0fiFyg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.968,68.08,,-22.63,71.84,22.288000000000004,,,42.15,36.120000000000005,0.0,,45.019999999999996,,,,63.690000000000005,,,,,
aUoFVzS6GBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.02,,,,,0.0,56.778571428571425,-38.04,,0.0,0.0,,,,,33.0,,0.0,73.78,,,,,
MwvnC1XkMyc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.712,53.74,,,,,,,,,,,,,,,,,,,,,,,,
fnQ0DO8HyRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.690000000000005,,,34.0,-11.372,74.3,61.815,56.21000000000001,83.07,,,64.83,,,,
dq93li2ZXfU,,,,,,,,,,,,,,,,,,-26.145000000000003,-4.491999999999999,-13.775,,-27.55,,,,,,,,,0.0,,,-44.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6LYqand_q3M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.42285714285715,73.23166666666665,48.88666666666667,83.99,95.38,,,64.59,,,
