Id,2017-03-01,2017-03-02,2017-03-03,2017-03-04,2017-03-05,2017-03-06,2017-03-07,2017-03-08,2017-03-09,2017-03-10,2017-03-11,2017-03-12,2017-03-13,2017-03-14,2017-03-15,2017-03-16,2017-03-17,2017-03-18,2017-03-19,2017-03-20,2017-03-21,2017-03-22,2017-03-23,2017-03-24,2017-03-25,2017-03-26,2017-03-27,2017-03-28,2017-03-29,2017-03-30,2017-03-31,2017-04-01,2017-04-02,2017-04-03,2017-04-04,2017-04-05,2017-04-06,2017-04-07,2017-04-08,2017-04-09,2017-04-10,2017-04-11,2017-04-12,2017-04-13,2017-04-14,2017-04-15,2017-04-16,2017-04-17,2017-04-18,2017-04-19,2017-04-20,2017-04-21,2017-04-22,2017-04-23,2017-04-24,2017-04-25,2017-04-26,2017-04-27,2017-04-28,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09
cN2EP1ZC5Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is fantastic hope to here this in the Justice League film again;Is this from Coachella;Hell yes Fucking Avengers WISH they had such awesome songs for each of their superheroes like these DC movies are WAY MORE EPIC;HAHAHAHAHAHHA The chills I get for that wonder woman theme is off the charts;Can anyone please tell me how long Hans Zimmer concert normally is Duration wise 34 hoursbr I have bought ticket for the show Wanted to plan my travel there That39s why Would appreciate your help;the score to the man of steel is the best part about the film to me;Sounds awesome must39ve been something else to be there wish he would come to Houston,man of steel goosebumps heck yeah;For the 1 person that disliked this vid quotI WILL FIND HIMquot;Can39t wait for Aquaman39s theme or Flash39s,,This will forever be the new if not one of the new Wonder Woman themes throughout history;Goosebumpsbr Hans Zimmer is truly a blessing and legend,Looks like Guthrie39s playing a fretless for the Wonder Woman part,epic,Holy shit that electric guitar and the wonder woman theme;The Man Of Steel theme evoke emotions such as inspiration and courage and can stand on its on When I hear his other themes it makes me think about the movie only,,then they use man of steel song for justice league when superman comes to join the battle for an epic comeback from the grave ,,,,,,,,,this version of wonder woman theme is kinda different from the original is she with you  soundtrack Could someone please provide the link of this version if there39s one out there ,,,is that tina guo that plays the wonder woman part,this video gave me epilepsy,
yRu1gGu0AsU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ok I got it you can say the leader is the one in cream ,oh my lady hold me lady,,,,,,LOS AMO,,ive watched this video like 300 million times why did I just realized youngbin isn39t wearing white;youngbin in these pants can have my soul and everything I own,my boy taeyang is so smooth,Sf9 amp Skinny jeans  And omg that dance move at a   a ,Who the guy in the purple hair,,KALIAN BIKIN LIST BIAS BERANTAKAN ,me aw this is so cutebr SF9 bdabbbr Me HOLY DABBING TURTLES THEY JUST DABBED bdabs alongb,This song sound so good I really like it Fighting SF9;I like the one in white 3;My bias is the one wearing white shirt and jeans with white shoes ,,,, ,weno todos hablando ingles y a mi me da flojera a si que helou quien me contesta  c me siento solita njaefuohufahe a quien le gusta taeyang  a mi no v,,,a  You39re welcome ,I love the one wearing the tight blue jeans and white shirt;Can39t take my eyes of Taeyang,lt3 bb,GOT MY EYES HOOKED AT TAEYANG,,,,,,,,
5y2OODNxcMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,ICANT WAIT FOR OUR NEW FANDOM NAME;           ,doojoon rusuh amet sih ,why is this so underrated I can39t believe ya39ll let this flop;Yoseob oppa39s voice lt3 lt3 always support Highlight from VietNam lt3,Aj looks like wearing no shoes at the pink scenes lol;It39s kinda ironic that I searched 39sad39 cause I wanted to cry and found this song Never heard of this group before now Apparently it used to be called Beast and it was under Cube I39ll check out Beast now,,sooojunhyunghow does kiki39s booty feel ,YELLOW happiness,it39s not highlightbr it39s dablight; the first five seconds of this song have been replayed a million times I39m dying That butt grab There is a reason why he is wearing the robe with the rated 19 symbol ,,,,,,,      ,,,,,,Thank You for all the mv versions,,YOYO OPPA,,,the bathrobes are so cuuute  ;39     39,,,,skip to a   dujun and a  dongwoon xD,,
UukWc9RbjBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i didn39t know how much i needed miles singing in my life,MILES SINGING RIPTIDE WILL BE THE DEATH OF ME AND I WILL WELCOME IT;i love your voicelove from israelxxxxxooooo;Omg go to a   January 27th is my birthday;Miles singing cured my depression br Cleared my skinbr Saved my ass from suicidebr Amen;a  HOW DO THEY STRUM SO WELL;Miles please marry me;MILES SINGING BREATHE IF YOU AGREE;Miles39 singing voice has left me shook;OH MY THEY SOUND SO GOOD OOOOOOOOH MYYYYYYYYYYY LOOOOOOOOORD;a  you39re welcome,THIS VIDEO GOES OUT TO ALL THE PEOPLE WHO DONT HAVE TWITTER,,,MILES SINGING VOICE IS MY GOD,,,,a ;I just fell in love a bit more with her singing TWENTY ONE PILOTS AHHH,,a    what song tho,Miles singing twentynepilots is now my new kink,Miles what an adorable little dork;OMFG MILES IS SINGING TP;WAIT I NEVER KNEW MILES COULD SING I FEEL BETRAYED,
-1b2u6_2-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ice cream everyday,I really love that they acknowledge that gender is on a spectrum ;I really love that they acknowledge that gender is on a spectrum ,one moment does she wear hair extensions on the show It kinda seems that she hasn39t that much hair as when she plays Hannah;Her single;i ship,that little dance of her in the beggining ,please God make them a couple,,So damn cute lt3;can they just be together pls,,,,,Katherine is so natural LOVE HER,,,,,Me encant ,,,Muchas gracias chicos sois geniales,,,,
NNKGs9eCx04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Nice Costumes  I am really excited to get started;Great Costumes look no further,cool characters,,,,,,Truly the best mascots available And very affordable too,Marketing with mascots ads life to your event Studies show significant impact when using mascots,,,,,,,,,,Need one soon,,,,
5qDMqPmdFGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aww that was fun Next time it should be a hot sauce drinking contest using small medicine cups;a  steph39s face after being asked where the first date was hahahaha;kris buy her mint chocolate ice cream otherwise I will;I have this stupid smile on my face all throughout the video omg why are you so fun to watch  and you two are a beautiful mess in this lol ,like your happyyou are all so happy;This was hilarious ;What is Kristen39s first question a  haha;YOKES on you Kristen You didn39t BEAT Steph;Love u guys so much U always make me laugh and smile and are genuine beautiful souls inside and out;I was in stitches each time one of use got hit in the head with the hard boiled eggsbruises for days ;Im a gemini toooo whooo;love seeing videos from you two in my sub box,olYou both make me laugh every time i get to watch your videosLooking forward to moreGod bless,lol a guys are funny ,,it is so obvious that Steph loves Kristen more,I almost fucking died at a   lmao,,kristen you are so hot i hope im not out of line by saying that but your girl know it to that39s why she39s with you along with other thing39s but im happy for you 2 keep being happy peace;This entire video was hilarious You ladies crack me up,,,,,,,,a  oops Sorry hahaha,,,,,,,,,,hi new subscriber here I just love your blogs its funny and cute like both of you,,,,,,,,,,
LIvZHPeYy6Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oh man Has it been that long That39s crazyyy;I hate when I have to sit through aNOTHER BIOGUARD AD;A question about Patreon Do you have an official one and if so could you please link it to your YT channel There is one on Patreon under quotHow to dadquot but I don39t know if its official or not;Don39t worry as soon as baby 20 enters the ring some of those holds will be popular again with toddler 10;How to hold a teenager,She39s so big now;No I am NOT listening to a  on a loop shaddup  I am completely unmoved I care nothing for cute wibble ;I wonder if my 17 14 and 10 year old will let me do that  hahahahah;Lmao  he39s still wearing the same clothes after 2 years lol quotBaby Jesusquot lmao I39m not sure but this one might be the funniest of all,FAVOURITE VID;wonderful way to spend time with your child thanks for sharing funny and inspirational,,where39s the high five;Hey man we have a facebook group which compose of the dads all over the world and we have like 30k members We would love to have you in the group and share experiences of Dadhood a  br br Cheers,,This guy needs more subscribers  Lmao br br I love his videos,Someday you may need to rename your channel quotHow to GRANDDADquot,,,,this is worse than daddy o5,,,,could anyone tell me what the song tha dad is singing;They grew up so fast been a fan since you39re first vid,,Notable muscle growth over the years from constant kiddo kettlebells squats curls etc I39m in the same boat Dadbod improves right along with dadback as my son grows and keeps getting heavier,,,He looks like Jesus lol,,
8ak0f0fiFyg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yall are so cute Jordan was super hype to put that in your face lol;Chauffeur is French br You almost got it br I39m glad you39re back girls and congrats on the apartment;You guys are so funny You should make videos like the old ones just talking and stuff maybe even try vlogging;Do the never have I ever dirty version Or truth or dare dirty version;Jordy acted like she was drowning in that whip cream wit her arms flailing Love you guys,You guys are too funny I wish I knew about you guys beforeI would have been dying a long time ago lol I never subbed to anybody this quick Congrats on the apt,,don39t forget to monetize yall videos and put multiple ads on each video,Oml I miss you guys like crazy ever since you guys stopped making videos I was searching for you guys like crazy  thank god i found you guys and I am happy for you guys doing big things,I miss y39all I have been looking for y39all channel glad to see y39all back;I doubt they39ll last their chemistry us off;smash or pass challenge youtuber edition then celebrity edition;No Hands Kissing Challenge;wo im just still in shock that yall are back good job girls im loving it,,,No hands kissing challenge,Y39all should make like a smash or pass or a Snapchat qna,Congratulations I know it feels awesomebr Looking forward to more videos,,I use to watch you guys all time and I39m so so excited that you guys are back make sure you guys do hella videos love you guys;shiiitttt I remember yall;The OGS are Back  Congratulations On The Apartment  Happy y39all are back miss y39all ,,,,Y39all are so dope and been dope I love you guys Oh and congratulations on the apartment,,,,,
aUoFVzS6GBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,my life is so much better because of them ,,,,,There coming to kcon NYC ,This song is for Cube 39Cube just plz don39t be sad our boys already won 8 times39;i love you b25t beast                                 ;i love you yoseob       ;i love you lee ki kwang      ;i love you junhyun      ;i love you doojoon      ;i love you b25t beast      ,im so confused isnt that beast,,This video actually makes my day,br   19   , ,,,,The one playing the arcade game looks so young How old is he;this is so cute I can39t stop smiling,,inner me, ;      ;does anyone notice this is the same like the one on weekly idol that bathrobe and must keep SMILING ,,,,                         ,
