Id,Title,Description,LikeCount,DislikeCount,"Location (latitude, longitude)",Predicted Tags (comma delimited string),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-HtUB7G8yE,Couple Yoga Challenge,For more click the links below Reality Show Reaction Prank Battle Reaction,78,2,,couple,hilarious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XSchSBfJiXA,CHUCK E CHEESE took Five Nights at Fun Playtime for,Thanks for watching Please Subscribe and Share New Everyday Follow us on,58,12,,adventure,baby,bus,cartoon,chuck e cheese,comedy,daddy,educational,family,family friendly,family fun pack,fisher price,frozen,game,good,happy,learn,little,mask,mouse,paw patrol,pig,play,playtime,step2,surprise,toy,toy story,,,,,,,,,,,,,,,,,,,,,,
D25uG-7veMg,Bun Updo Bridal Hair New York,Bun Updo Special BOOK NOW 646 801HAIR Please Like Share,1,0,,hair,updo,wedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mw7pM14jz5s,Baby Hazel Adventure Time Baby Hazel,Baby The Explorer Find Hazel For Baby The Explorer Find Hazel For Baby,56,0,37.09024;-95.71289,baby,baby feeding,baby hazel,cartoon,cooking,explorer,frozen,frozen anna,fun,girl,hair salon,little pony,make,nail salon,pig,princess,sago,slither io,spa,talking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D0NBjmsG7BI,Grand Theft Auto V Ring Fight Match,Doing a A Ring Fist Match let me know if you enjoy Hope you enjoy dont forget to like subscribe for more Also check out my twitter for more on my,2,1,,4,grand theft auto v,interactive entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gnj2KUFe8_o,Darkness Reborn SEA 1,Subscribe Like Android Game Darkness Reborn,6,0,,android,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qNcGvTCFXj8,Shakti 4th May 2017 Upcoming Twist Colors Shakti Today News 2017,Shakti 4th May 2017 Full Today Episode 4th May 2017 Colors Shakti 4 May 2017 Full Latest Episode Shakti Episode On Location,91,10,,2017,4th may 2017,colors,episode,full,full episode,latest,may 4 day year,preview,serial,shakti,shakti 4th may 2017,shakti full episode,shakti full episode 4th may 2017,shakti location,shakti preview,shakti serial,today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dLnvAXUpMRo,Have Always Worked The US Experience 1920 2016 at,Enroll now Learn about the history of in and,6,0,,history,university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JrD6NfKDW0M,Storm Drumline 2017 Battle in the Apple,SUPPORT SUBSCRIBE Official Site,9,1,,2016,2017,2k16,2k17,5th,band,battle,clips,comparison,dancing,drumline,event,fat,field,fifth,footage,high school,percussion,preview,quarter,review,rivalry,stadium,tell,zero,,,,,,,,,,,,,,,,,,,,,,,,,
rgpn3juCLOo,CLICK THE LINK AT THE END OF THIS VIDEO,We are on Make confidential to support our work so we can do more Just click here or for a one time,976,5,,black mob violence,black white crime,colin,dont make black angry,white girl bleed lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XsKxWHCsoJU,Classic Sesame Street Big Bird to Earn Some Money,Welcome to Sesame Street If by some chance you were looking for Monster Big Bird Baby Bear,0,0,,sesame,street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hN4jgjIfLuc,RAP INSTRUMENTAL BEAT Black,Base De Rap Rap Instrumental Hip Hop Beat Type de rap Tempo Boom Bap Old School Trap Underground,828,18,,bad,beat,black,de,de rap,drake,hip,hip hop culture,hip hop instrumental base de rap,hop,instrumental,para cantar rap,producer,rap,rap battle,rap instrumental,studio,tempo,trap,trap beat,underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bop9LpyoWR0,1v1 BlackKillazCH4L,FAKE PS4,7,3,,4,interactive entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ge69hS7CMpQ,Puzzle09 PO Pre2016 By 11 old There is no age bar to,Please watch Time and Distance for Bank PO 06 Set03 For PO MAIN 2017By Amar Sir,54,1,,amar,amar sir,amar sir math,math,po,quantitative aptitude,sir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QOoFzKXIkk0,Cricket Sports news 71,Cricket Sports news 71,6,1,23.7239704132;90.3978729248,al hasan,cricket,cricket 2017,cricket news,cricket news today,cricket news update,cricket news update 2017,cricket team,cricket today,sports,sports news,sports news 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qYy_VBkV07s,Se 4th May 2017 Full Launch Video Se Colors New Serial 2017,Se 4th May 2017 Full Launch Video Se Colors New Serial 2017 Full Episode Se 4 May 2017,8,0,,2017,colors,episode,full episode,full launch video,latest,latest news,latest news today,new serial,news,news latest,preview,romantic,scene,se,se 4th may 2017,se colors,today,twist,upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y9nEEMtk-Qc,Jess Doing All The Stuff With Nick Season 6 Episode 19 NEW GIRL,Copyright 20th Century Fox,116,3,,new girl 6x19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hB1HPqxJG7c,Pig Full Season 4 New Compilation Part 7,This is Pig Full on Season 4 Compilation Part 7 This compilation contain 0000 Show 0429 Madame,4793,2232,,compilation,funny,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utaONsx0rt8,RECAP All the of the 2017 Song Contest,43 participate at the 2017 Song Contest in this year Who is your Let us know in the,7057,335,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_v2U1R3RW8,Train Rain Sound,All in our channel are produced in 1080p format Thus be definitely able to appreciate these in the depth and variety they boast,2,0,,forest rain sound,gentle rain,rain roof,rain shower,rain shower sound,rain sound,rainy,sound,thunderstorm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rAkz28RL-fc,SURVIVAL ISLAND WMattTheGam3r 1 First Night PS4 Edition,MattTheGam3r Channel MattTheGam3r Video Click here,10,1,,4,interactive entertainment,playstation4 edition,ps4share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51Y_oE7t1p0,Why would a black person rob a white grandmother at a white school in,We are on Make confidential to support our work so we can do more Just click here or for a one time,647,10,,black mob violence,black white crime,colin,dont make black angry,white girl bleed lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DuStrtc_Jzs,Car Crash Compilation Car 2017 04 14 34 Car Crash very shock dash camera 2017 NEW,Car Crash Compilation Crash ford mustang Ford Police R8 R8 Automobile Model Chase,0,0,,1 2 3 4 5 6 7 bmw8 m1 m2 m3 m4 m5,a1,a2,a3,a4,a5,a6,a7,a8,car crash compilation,m6 m7 stuck snow drift 20 30 v1 v2 v3 v4 v5 v6,q7 q8 sq7 q5 rs3 s2,rs4 rs5 rs6 rs7 rs8 q1 q2,s3,s3 s4 s5 s6 s7 s8,s4,s5,s6,s7,s8,s9 rs1 a9 q3 rs2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jM1MsaTb4Q8,You Diplomat Hero National Anthem,A National Anthem and flag are of its national identity These are often used to show how powerful and successful a nation is,0,0,,ambassador,crime,diplomat,diplomate,environment,esclavage,movement,national,national anthem,parliament,patriot,patriotic,politics,premier minister,president,prime minister,senator,slavery,traffic,un,united,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bmDn0zRiA5Y,ANALYST GOES ON NATIONAL EVERYONE WITH 5 ABOUT TRUMP,Sub for more B Agee for Western Journalism The Trump over the past,1856,86,,bill,debate,election 2016,fox news,mike pence,news,news channel,next news network,presidential election,trump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1KGkkN2cxl8,Polytechnic l Marketing Alumni,Polytechnic marketing alumni why choose marketing the of marketing the career opportunity after,0,0,,confidence,degree,future,marketing,marketing career,marketing graduate,marketing major,polytechnic,successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
